gene_id,glucose_aerobic,glucose_anaerobic,ethanol,galactose,nitrogen_starvation,oxidative_stress,stationary_phase
YDR210W-B,69.18,69.71,69.71,69.71,69.71,69.71,69.71
YDR211W,1.01,0.77,1.01,1.01,1.01,1.01,1.57
YDR222W,2.87,2.87,2.87,2.87,2.87,34.62,2.87
YDR224C,2.17,2.17,2.17,2.17,2.17,2.17,2.17
YDR225W,0.61,0.61,0.61,0.61,0.61,0.61,0.61
YDR226W,7.26,7.26,7.26,1.28,7.26,7.26,7.26
YDR228C,61.82,219.59,61.82,61.82,61.82,61.82,61.82
YDR231C,13.10,13.10,13.10,13.10,13.10,13.10,13.10
YDR232W,27.02,27.02,27.02,27.02,27.02,27.02,27.02
YDR234W,102.91,102.91,102.91,102.91,102.91,102.91,42.08
YDR235W,147.16,147.16,147.16,147.16,147.16,150.18,147.16
YDR236C,18.11,18.11,18.11,18.11,18.11,18.11,18.11
YDR242W,152.99,135.82,152.99,152.99,152.99,152.99,152.99
YDR243C,23.06,23.06,7.50,23.06,23.06,23.06,23.06
YDR248C,5.72,5.72,5.72,5.72,5.72,5.72,5.72
YDR256C,8.24,8.24,8.24,8.24,8.24,8.24,8.24
YDR260C,2.18,2.18,2.18,1.09,2.18,2.18,2.18
YDR261C,5.30,5.30,5.30,5.30,5.30,5.30,5.30
YDR261C-D,11.74,11.74,11.74,4.49,14.10,11.74,11.74
YDR261W-B,67.05,67.05,67.05,67.05,67.05,67.05,67.05
YDR264C,593.50,385.09,265.38,265.38,265.38,265.38,265.38
YDR266C,2.53,2.53,2.53,2.53,2.53,2.53,2.53
YDR268W,36.21,36.21,36.21,36.21,36.21,36.21,36.21
YDR270W,4.22,4.22,4.22,4.22,4.22,4.22,4.22
YDR272W,40.94,163.33,40.94,40.94,40.94,40.94,40.94
YDR284C,16.50,10.55,16.50,16.06,16.50,16.50,16.50
YDR285W,0.72,1.29,0.20,1.24,1.29,1.29,1.29
YDR287W,80.84,80.84,80.84,330.37,80.84,80.84,80.84
YDR294C,8.11,8.11,8.11,8.11,8.11,8.11,8.11
YDR297W,9.02,9.02,9.02,9.02,9.02,9.02,9.02
YDR298C,4.04,4.04,4.04,4.04,4.04,4.04,4.04
YDR300C,7.53,7.53,5.72,30.78,7.53,7.53,7.53
YDR302W,38.16,38.16,41.59,38.16,38.16,38.16,38.16
YDR303C,15.12,15.12,15.12,15.12,15.12,15.12,15.12
YDR305C,32.88,47.59,32.88,32.88,32.88,32.88,89.25
YDR307W,34.57,34.57,34.57,34.57,34.57,34.57,34.57
YDR313C,145.62,74.54,145.62,145.62,145.62,145.62,145.62
YDR315C,12.01,12.01,12.01,12.01,12.01,12.01,51.31
YDR316W-B,2.19,2.19,2.19,2.19,2.19,2.19,15.59
YDR321W,99.57,99.57,99.57,99.57,99.57,99.57,811.06
YDR322C-A,12.22,12.22,12.22,12.22,12.22,12.22,12.22
YDR323C,106.90,106.90,106.90,106.90,106.90,106.90,106.90
YDR326C,35.70,35.70,35.70,35.70,35.70,35.70,35.70
YDR334W,16.50,16.50,16.50,16.50,16.50,16.50,8.05
YDR341C,33.89,33.89,60.42,33.89,33.89,33.89,33.89
YDR342C,374.85,211.21,374.85,374.85,374.85,374.85,374.85
YDR343C,452.81,452.81,452.81,452.81,452.81,452.81,452.81
YDR345C,22.29,66.78,22.29,22.29,22.29,22.29,22.29
YDR352W,25.54,25.54,25.54,31.89,25.54,25.54,25.54
YDR353W,100.92,100.92,100.92,100.92,100.92,100.92,100.92
YDR354W,5.65,5.65,5.65,7.22,5.65,5.65,5.65
YDR367W,33.10,33.10,33.10,33.10,25.71,33.10,33.10
YDR368W,19.42,19.32,19.32,19.32,6.98,19.32,19.32
YDR371W,32.16,108.46,32.16,32.16,32.16,13.80,32.16
YDR373W,5.75,5.75,5.75,2.48,8.23,5.75,13.83
YDR376W,1.85,1.85,1.85,1.85,1.85,1.85,1.85
YDR377W,0.90,0.90,0.90,0.90,0.90,0.90,0.90
YDR380W,3.76,2.59,3.76,3.76,3.76,3.76,3.89
YDR384C,10.09,10.09,10.09,10.09,10.09,10.09,10.09
YDR387C,12.94,12.94,49.99,12.94,12.94,12.94,12.94
YDR388W,367.18,367.18,367.18,367.18,367.18,367.18,367.18
YDR390C,105.53,105.53,105.53,181.20,105.53,199.22,105.53
YDR391C,0.78,4.74,9.77,4.74,4.74,42.86,4.74
YDR394W,33.84,33.84,33.84,33.84,33.84,8.83,27.63
YDR399W,10.91,10.91,10.91,10.91,10.91,10.91,10.91
YDR400W,13.11,13.11,54.85,13.11,6.89,6.39,13.11
YDR402C,26.52,26.52,26.52,26.52,26.52,26.52,26.52
YDR403W,50.84,50.84,50.84,50.84,50.84,50.84,37.07
YDR408C,12.07,23.75,12.07,12.07,12.07,12.07,12.07
YDR410C,99.07,99.07,99.07,99.07,99.07,99.07,99.07
YDR414C,3.62,3.59,3.62,3.62,4.67,3.62,0.85
YDR418W,20.28,5.95,20.28,9.85,20.28,20.28,20.28
YDR419W,988.82,988.82,988.82,988.82,2410.09,988.82,2064.34
YDR420W,28.07,28.07,28.07,7.47,28.07,28.07,19.69
YDR425W,172.40,172.40,172.40,172.40,172.40,172.40,146.15
YDR428C,23.04,23.04,23.04,23.04,23.04,23.04,23.04
YDR435C,48.00,48.00,48.00,48.00,48.00,48.00,48.00
YDR436W,18.45,17.32,45.37,18.45,18.45,30.22,18.45
YDR437W,25.15,15.56,15.56,15.56,3.79,5.38,15.56
YDR440W,6.24,6.24,6.24,6.24,6.24,6.24,6.24
YDR441C,88.68,38.30,275.61,38.30,38.30,59.91,38.30
YDR451C,3.63,5.60,5.60,5.60,5.60,5.60,5.60
YDR452W,54.51,135.31,54.51,73.43,54.51,54.51,54.51
YDR453C,102.30,102.30,102.30,102.30,102.30,331.50,102.30
YDR454C,34.81,34.81,34.81,34.81,34.81,34.81,34.81
YDR456W,13.07,13.07,13.07,13.07,7.14,13.07,13.07
YDR459C,39.68,39.68,39.68,39.68,39.68,39.68,39.68
YDR460W,5.10,12.64,12.64,12.64,10.65,12.64,12.64
YDR476C,81.72,81.72,81.72,81.72,81.72,81.72,81.72
YDR481C,1.29,1.29,1.29,1.29,1.29,1.29,1.29
YDR483W,12.14,12.14,12.14,12.14,12.14,13.86,12.14
YDR484W,1.26,1.01,1.01,1.01,1.01,1.01,1.01
YDR485C,2.09,2.13,2.13,2.13,3.03,2.13,2.13
YDR487C,155.37,155.37,155.37,1296.56,155.37,488.03,207.65
YDR493W,98.66,76.92,76.92,76.92,101.90,76.92,76.92
YDR497C,6.83,6.83,6.83,6.83,6.83,6.83,6.20
YDR501W,2.11,2.11,2.11,2.11,2.11,2.11,2.11
YDR502C,0.08,0.24,0.37,0.24,0.24,0.24,0.24
YDR503C,7.60,8.89,8.89,8.89,4.36,8.89,8.89
YDR508C,124.09,757.95,222.26,757.95,4044.26,757.95,757.95
YDR511W,38.56,87.51,38.56,38.56,38.56,38.56,38.56
YDR513W,11.08,8.68,4.08,8.68,8.68,8.68,8.68
YDR516C,7.12,40.35,40.35,40.35,41.96,40.35,40.35
YDR517W,1.93,1.93,1.93,1.93,0.71,1.93,1.93
YDR529C,12.86,12.86,12.86,12.86,12.86,12.86,7.45
YDR530C,52.70,23.32,23.32,23.32,23.32,23.32,8.55
YDR531W,17.65,17.65,17.65,17.65,17.65,17.65,17.65
YDR533C,65.77,65.77,33.09,65.77,65.77,65.77,32.62
YDR534C,33.68,33.68,43.54,33.68,33.68,33.68,31.63
YDR536W,36.98,54.73,54.73,54.73,54.73,45.44,54.73
YDR538W,7.15,7.15,7.15,7.15,4.67,7.15,58.05
YDR539W,77.22,77.22,77.22,98.76,207.64,77.22,77.22
YEL004W,231.23,1844.78,231.23,231.23,148.28,231.23,231.23
YEL006W,4.69,4.69,4.69,4.69,4.69,4.69,4.69
YEL011W,5.30,5.30,5.30,5.30,5.30,5.30,5.30
YEL012W,148.96,148.96,148.96,148.96,148.96,148.96,148.96
YEL013W,15.07,15.07,15.07,15.07,15.07,15.07,3.96
YEL016C,164.96,164.96,164.96,164.96,164.96,164.96,164.96
YEL017C-A,14.35,10.34,10.34,10.34,10.34,10.34,10.34
YEL019C,178.14,113.71,178.14,178.14,178.14,904.47,178.14
YEL021W,24.46,24.46,24.46,24.46,24.46,24.46,24.46
YEL022W,29.59,29.59,29.59,29.59,29.59,29.59,29.59
YEL024W,209.99,209.99,209.99,209.99,209.99,209.99,209.99
YEL027W,11.67,8.42,11.67,11.67,11.67,11.67,11.67
YEL029C,4.90,4.90,4.90,4.90,4.90,4.90,4.90
YEL031W,7.37,10.25,3.60,10.25,10.25,10.25,10.25
YEL032W,39.59,34.93,24.90,39.59,31.74,39.59,39.59
YEL038W,1.92,1.92,1.92,1.92,1.92,1.92,1.92
YEL039C,52.26,52.26,52.26,52.26,52.26,106.88,52.26
YEL041W,8.95,8.95,8.95,34.81,8.95,5.14,8.95
YEL042W,112.36,112.36,112.36,112.36,112.36,112.36,112.36
YEL046C,0.55,0.55,0.55,0.55,0.34,0.55,0.55
YEL047C,6.17,6.17,6.17,6.17,8.80,6.17,6.17
YEL051W,1.60,1.60,1.60,1.60,1.08,1.60,1.60
YEL053C,5.82,5.82,5.82,24.26,5.82,5.82,5.82
YEL054C,29.12,30.35,29.12,6.15,29.12,29.12,29.12
YEL057C,15.35,15.35,15.35,15.35,15.35,1.46,15.35
YEL058W,16.97,13.73,13.73,13.73,13.73,13.73,13.73
YEL063C,15.82,15.82,15.82,15.82,15.82,15.82,15.82
YEL066W,27.25,17.94,27.25,27.25,27.25,27.25,27.25
YEL069C,4.42,9.29,4.42,4.42,4.42,4.42,4.42
YEL070W,57.99,57.99,57.99,57.99,57.99,57.99,57.99
YEL071W,54.27,54.27,54.27,54.27,19.16,22.73,54.27
YEL076C,35.79,35.79,35.79,35.79,35.79,35.79,25.93
YEL077C,46.28,43.07,46.28,46.28,46.28,35.73,46.28
YER003C,31.33,31.33,31.33,31.33,31.33,73.28,31.33
YER004W,425.22,425.22,425.22,425.22,425.22,425.22,563.65
YER005W,17.63,24.53,17.63,17.63,17.63,5.31,17.63
YER006W,12.67,12.67,12.67,12.67,12.67,12.67,12.67
YER010C,6.49,6.49,111.61,6.49,6.49,6.49,6.49
YER013W,4.27,4.27,4.27,4.27,4.27,4.27,10.42
YER014W,3.11,3.11,3.11,1.49,3.11,2.50,3.11
YER015W,5.30,5.30,3.06,5.30,5.30,5.30,5.30
YER016W,18.07,1.16,18.07,18.07,18.07,18.07,18.07
YER017C,33.16,33.16,33.16,33.16,33.16,33.16,33.16
YER019W,21.69,21.69,21.69,21.69,21.69,21.69,21.69
YER021W,6.37,6.37,6.37,6.37,6.37,6.37,6.37
YER023W,7.23,77.50,77.50,77.50,77.50,77.50,77.50
YER024W,60.89,60.89,60.89,60.89,60.89,60.89,60.89
YER025W,15.81,15.81,54.40,15.81,8.43,15.81,15.81
YER026C,7.54,7.54,7.54,7.54,7.54,20.55,7.54
YER037W,45.72,45.72,45.72,45.72,45.72,45.72,45.72
YER042W,26.63,26.63,26.63,26.63,26.63,26.63,21.71
YER043C,3.02,2.29,2.29,2.29,2.29,2.29,2.29
YER051W,6.92,18.14,38.42,18.14,18.14,18.14,18.14
YER052C,29.76,8.16,29.76,29.76,33.75,29.76,29.76
YER053C,5.21,5.21,5.21,5.21,5.21,5.21,11.54
YER055C,26.70,26.70,26.70,39.73,11.65,26.70,26.70
YER056C,2.27,2.27,2.27,1.57,2.27,2.27,2.27
YER057C,149.05,149.05,222.90,149.05,149.05,149.05,149.05
YER059W,130.57,130.57,130.57,130.57,130.57,130.57,130.57
YER060W,13.75,13.75,13.75,162.46,13.75,13.75,36.65
YER060W-A,34.65,34.65,34.65,34.65,34.65,5.41,34.65
YER061C,0.54,0.54,0.54,0.54,0.39,0.54,0.54
YER062C,4.26,3.54,3.54,3.54,3.54,3.54,3.54
YER065C,12.93,3.97,12.93,12.93,7.88,49.48,12.93
YER068W,4.02,4.02,15.52,4.02,4.02,4.02,4.02
YER069W,58.65,58.65,38.25,45.68,58.65,58.65,58.65
YER070W,401.80,401.80,401.80,401.80,401.80,401.80,401.80
YER073W,3.44,2.51,3.44,3.44,3.44,3.44,3.44
YER075C,1.03,5.72,2.34,5.72,5.72,5.72,5.72
YER078C,28.59,28.59,28.59,16.63,28.59,28.59,28.59
YER081W,91.76,225.13,225.13,225.13,225.13,225.13,225.13
YER086W,3.21,3.21,3.21,3.21,3.21,3.21,3.21
YER087W,29.18,29.18,29.18,29.18,13.96,29.18,29.18
YER088C,308.57,308.57,308.57,34.66,2023.99,308.57,308.57
YER089C,0.79,1.69,3.17,0.51,0.11,1.69,1.69
YER090W,2.94,2.94,1.95,2.94,2.94,2.94,0.58
YER091C,10.64,10.64,10.64,10.64,10.64,10.64,32.00
YER092W,9.20,9.20,9.20,9.20,9.20,1.85,0.64
YER098W,67.96,67.96,67.96,67.96,64.56,6.45,18.27
YER099C,29.93,28.86,28.86,28.86,28.86,28.86,28.86
YER103W,1.40,1.40,1.40,1.40,1.40,1.40,1.40
YER105C,136.09,43.52,43.52,43.52,43.52,43.52,43.52
YER111C,8.45,8.45,8.45,8.45,8.45,8.45,8.45
YER113C,135.87,135.87,135.87,175.80,135.87,135.87,135.87
YER115C,7.84,7.84,7.84,7.84,7.84,7.84,7.84
YER116C,7.73,7.73,7.73,7.73,7.73,1.71,7.73
YER119C,45.23,45.23,59.89,45.23,45.23,100.24,45.23
YER125W,63.08,66.43,63.08,12.37,63.08,63.08,63.08
YER128W,62.93,39.34,39.34,7.51,39.34,39.34,39.34
YER133W,0.67,1.60,1.60,1.60,1.60,1.60,1.60
YER137C,45.02,45.02,148.07,45.02,45.02,45.02,45.02
YER138C,4.26,4.26,4.26,4.26,4.26,4.26,4.26
YER139C,17.10,28.59,28.59,24.97,28.59,28.59,28.59
YER140W,2.37,2.37,9.85,2.37,2.37,1.94,2.37
YER141W,103.28,39.23,39.23,39.23,39.23,39.23,42.42
YER142C,9.49,5.99,8.09,5.99,5.99,5.99,5.99
YER143W,0.78,2.93,2.93,2.93,2.93,2.93,2.93
YER144C,58.60,58.60,42.61,58.60,58.60,58.60,58.60
YER145C,28.86,28.86,28.86,28.86,28.86,28.86,28.86
YER151C,9.05,8.00,8.00,8.00,8.00,8.00,3.39
YER152C,177.11,177.11,177.11,177.11,177.11,177.11,177.11
YER160C,10.37,3.54,10.37,10.37,32.00,10.37,10.37
YER163C,21.08,21.08,21.08,21.08,21.08,21.08,21.08
YER164W,30.07,30.07,30.07,30.07,30.07,30.07,34.76
YER165W,4.64,7.93,7.93,7.93,7.93,7.93,7.93
YER170W,40.72,13.13,40.72,40.72,40.72,40.72,40.72
YER171W,7.29,9.02,9.02,9.02,9.02,9.02,9.02
YER172C,10.83,10.83,10.83,10.83,10.83,10.83,10.83
YER174C,155.08,155.08,155.08,362.07,155.08,155.08,155.08
YER175C,4.22,4.22,2.70,4.22,4.22,7.42,4.22
YER178W,0.38,0.54,0.54,0.54,0.54,0.54,0.54
YER180C-A,699.23,225.07,225.07,225.07,225.07,83.84,225.07
YER183C,919.65,919.65,919.65,919.65,919.65,919.65,919.65
YER184C,10.94,10.94,10.94,10.94,10.94,10.94,10.94
YER187W,1.10,1.10,1.10,1.81,3.64,1.10,1.10
YER190W,13.80,14.04,11.81,12.61,12.61,12.61,12.61
YFL001W,13.07,31.81,13.07,13.07,13.07,13.07,13.07
YFL002C,15.11,15.11,15.11,15.11,19.10,15.11,15.11
YFL002W-A,3.78,3.78,3.78,3.78,3.78,3.78,3.78
YFL005W,47.91,47.91,47.91,47.91,47.91,47.91,47.91
YFL007W,44.11,27.78,44.11,44.11,44.11,51.66,44.11
YFL009W,2.13,7.57,2.13,2.13,2.13,2.13,2.13
YFL011W,57.33,57.33,57.33,78.27,281.89,57.33,57.33
YFL017C,436.60,436.60,436.60,436.60,54.42,150.79,436.60
YFL018C,26.00,26.00,24.39,152.85,26.00,80.06,26.00
YFL022C,12.11,12.11,12.11,12.11,17.54,12.11,12.11
YFL030W,63.04,28.27,16.23,3.57,16.23,16.23,16.23
YFL036W,21.97,50.55,50.55,50.55,50.55,50.55,50.55
YFL038C,1.50,1.50,1.50,6.79,1.50,0.88,1.50
YFL041W,25.70,25.70,25.70,25.70,25.70,25.70,25.70
YFL044C,11.18,11.18,17.63,11.18,11.18,11.18,11.18
YFL045C,148.49,321.10,321.10,321.10,320.72,321.10,321.10
YFL053W,28.87,12.80,15.47,15.47,15.47,15.47,15.47
YFL054C,245.14,245.14,103.66,188.75,245.14,245.14,245.14
YFL055W,3.84,3.84,3.84,3.84,3.84,3.84,3.84
YFL058W,48.47,48.47,48.47,6.63,9.88,48.47,48.47
YFL059W,32.43,32.43,32.43,22.57,32.43,32.43,27.73
YFL060C,5.45,5.45,5.45,5.45,5.45,5.45,5.45
YFL061W,26.21,26.21,26.21,26.21,26.21,114.77,26.21
YFR005C,123.81,123.81,123.81,127.46,123.81,123.81,123.81
YFR009W,12.36,12.36,12.36,12.36,12.36,12.36,12.36
YFR010W,1.59,1.59,2.38,1.59,1.59,1.59,1.59
YFR012W,19.56,19.56,19.56,19.56,19.56,19.56,19.56
YFR015C,5.19,5.19,5.19,5.19,2.15,5.19,5.19
YFR016C,12.02,12.02,12.02,12.02,12.02,2.12,12.02
YFR018C,17.77,28.92,17.77,5.64,17.77,17.77,17.77
YFR019W,13.47,1.56,1.56,1.56,1.56,1.56,1.56
YFR020W,1.78,1.78,1.01,1.78,1.78,1.78,0.45
YFR021W,41.39,41.39,41.39,41.39,41.39,41.39,41.39
YFR025C,9.17,9.17,9.17,9.17,15.25,9.17,9.17
YFR028C,0.43,0.43,0.43,0.43,0.86,0.63,0.43
YFR030W,65.19,65.19,65.19,65.19,65.19,65.19,65.19
YFR033C,30.22,30.22,30.22,30.22,30.22,74.28,30.22
YFR038W,15.17,6.88,6.88,6.88,6.88,6.88,6.88
YFR040W,2.79,2.79,2.79,2.79,4.79,2.79,2.79
YFR044C,70.37,70.37,70.37,70.37,70.37,70.37,70.37
YFR047C,33.92,62.78,33.92,33.92,33.92,33.92,33.92
YFR049W,716.16,716.16,716.16,716.16,716.16,1959.20,716.16
YFR053C,37.72,37.72,37.72,37.72,37.72,5.95,37.72
YFR055W,34.44,35.93,35.93,35.93,35.93,19.33,35.93
YGL001C,128.57,15.64,15.64,15.64,15.64,15.64,15.64
YGL002W,68.39,18.24,20.34,68.39,68.39,68.39,68.39
YGL003C,5.01,51.30,51.30,51.30,51.30,51.30,51.30
YGL006W,131.31,131.31,131.31,131.31,66.71,131.31,242.54
YGL008C,9.19,9.19,16.60,9.19,25.33,9.19,9.19
YGL009C,10.45,10.45,5.33,10.45,10.45,10.45,4.55
YGL012W,9.79,9.79,9.79,9.79,9.79,9.79,9.79
YGL017W,65.77,65.77,65.77,90.42,65.77,49.78,65.77
YGL022W,190.10,190.10,190.10,190.10,190.10,190.10,190.10
YGL026C,10.09,10.09,10.09,10.09,2.32,10.09,10.09
YGL027C,10.62,10.62,10.62,10.62,10.62,10.62,10.62
YGL037C,98.54,32.17,32.17,32.17,32.17,123.01,32.17
YGL038C,13.89,18.00,26.48,13.89,2.25,13.89,13.89
YGL040C,83.77,83.77,83.77,83.77,83.77,83.77,83.77
YGL047W,0.69,0.69,0.69,0.47,0.69,0.69,0.69
YGL048C,5.81,5.81,5.81,5.81,5.81,5.81,5.81
YGL050W,6.21,6.21,6.21,6.21,6.21,6.21,6.21
YGL055W,0.62,0.62,0.62,0.62,0.62,0.62,0.62
YGL058W,4.73,4.73,4.73,4.73,4.73,4.73,4.91
YGL062W,5.09,5.09,5.09,5.09,5.09,5.09,3.03
YGL063W,14.86,14.86,14.86,14.86,14.86,14.86,14.86
YGL064C,106.64,106.64,106.64,106.64,106.64,106.64,106.64
YGL065C,13.91,13.91,21.33,13.91,13.91,13.91,13.91
YGL067W,4.28,4.28,4.28,4.28,4.28,4.28,4.28
YGL068W,18.44,18.44,18.44,18.44,67.99,18.44,18.44
YGL071W,188.30,96.91,96.91,96.91,96.91,96.91,96.91
YGL077C,4.65,4.65,4.65,4.65,4.65,4.65,4.65
YGL078C,10.14,5.13,4.08,5.13,5.13,2.54,5.13
YGL080W,46.42,46.42,46.42,46.42,46.42,46.42,46.42
YGL084C,14.41,14.41,14.41,6.36,14.41,39.91,14.41
YGL093W,53.05,53.05,53.05,53.05,53.05,53.05,53.05
YGL101W,19.68,19.68,19.68,19.68,19.68,6.64,19.68
YGL116W,57.54,57.54,57.54,57.54,57.54,57.54,57.54
YGL117W,4.25,4.25,4.25,4.25,4.25,4.25,4.25
YGL120C,19.72,19.72,19.72,19.72,19.72,19.72,19.72
YGL125W,14.64,14.64,14.64,14.64,14.64,14.64,49.92
YGL130W,3.24,3.24,3.24,3.24,3.24,3.24,3.24
YGL136C,1.92,1.92,1.92,1.92,1.92,1.92,1.92
YGL137W,56.18,56.18,56.18,56.18,56.18,56.18,56.18
YGL139W,11.86,11.86,11.86,2.74,11.86,11.86,11.86
YGL142C,4.33,5.61,4.33,4.33,4.33,4.33,4.33
YGL144C,17.39,17.39,17.39,17.39,17.39,24.85,17.39
YGL148W,109.07,109.07,109.07,100.82,109.07,109.07,109.07
YGL154C,0.66,0.66,0.86,1.58,0.66,0.66,0.66
YGL155W,2.13,2.13,2.13,2.13,2.13,2.13,0.73
YGL156W,5.03,5.03,5.03,5.03,5.03,5.03,5.03
YGL162W,179.79,179.79,179.79,179.79,179.79,179.79,179.79
YGL163C,30.69,30.69,30.69,30.69,30.69,30.69,30.69
YGL164C,63.50,63.50,63.50,63.50,63.50,63.50,63.50
YGL167C,3.63,3.63,3.63,3.63,3.63,3.63,3.63
YGL169W,5.63,2.31,3.75,3.75,3.75,3.75,3.75
YGL171W,39.32,37.07,39.32,39.32,39.32,39.32,39.32
YGL178W,21.92,21.92,21.92,21.92,14.90,21.92,21.92
YGL184C,45.75,131.07,45.75,97.64,45.75,45.75,261.24
YGL186C,28.74,15.16,15.16,15.16,15.16,19.84,15.16
YGL187C,30.48,30.48,30.48,30.48,30.48,30.48,30.48
YGL191W,25.46,25.46,25.46,25.46,25.46,25.46,25.46
YGL194C,35.35,64.50,64.50,64.50,64.50,92.81,64.50
YGL195W,67.39,67.39,67.39,67.39,67.39,374.21,67.39
YGL196W,0.98,1.77,1.77,0.14,1.89,1.77,1.77
YGL201C,0.69,0.69,0.69,0.69,0.69,0.69,0.69
YGL202W,90.25,90.25,90.25,90.25,90.25,90.25,90.25
YGL205W,119.29,119.29,119.29,119.29,119.29,119.29,119.29
YGL207W,4.35,4.35,4.35,4.35,2.91,4.35,4.35
YGL224C,0.97,1.23,1.23,0.63,0.76,1.23,1.23
YGL225W,23.30,23.30,19.75,23.30,23.30,23.30,23.30
YGL234W,81.15,81.15,81.15,81.15,81.15,81.15,62.30
YGL245W,297.79,297.79,297.79,297.79,297.79,88.60,297.79
YGL248W,47.33,38.81,295.86,43.57,43.57,43.57,43.57
YGL251C,11.50,11.50,11.50,11.50,3.88,11.50,11.50
YGL253W,19.74,6.91,5.26,5.26,5.26,5.26,5.26
YGL255W,20.43,20.43,20.43,20.43,20.43,20.43,20.43
YGL256W,12.82,12.82,12.82,13.70,12.82,12.82,12.82
YGL258W,4.38,4.38,4.38,4.38,4.38,6.43,4.38
YGR001C,434.04,434.04,434.04,434.04,434.04,1851.94,434.04
YGR002C,292.29,292.29,292.29,662.37,292.29,292.29,292.29
YGR006W,110.40,114.82,110.40,110.40,110.40,110.40,110.40
YGR007W,5.05,5.05,5.05,5.05,5.05,5.05,1.52
YGR009C,72.42,72.42,72.42,72.42,72.42,72.42,72.42
YGR010W,52.43,52.43,85.40,52.43,68.82,52.43,52.43
YGR012W,39.01,39.01,37.12,50.10,39.01,39.01,39.01
YGR014W,130.91,130.91,130.91,130.91,130.91,130.91,130.91
YGR015C,52.09,52.09,52.09,52.09,52.09,52.09,52.09
YGR019W,60.95,60.95,15.86,60.95,60.95,60.95,60.95
YGR020C,52.21,52.21,52.21,52.21,98.10,61.96,52.21
YGR024C,33.49,33.49,33.49,67.75,38.84,33.49,36.61
YGR026W,1.38,1.38,1.38,1.38,1.38,2.45,1.38
YGR027C,22.77,22.77,22.77,55.27,22.77,22.77,22.77
YGR029W,8.72,8.72,37.48,8.72,8.57,8.72,8.72
YGR032W,2.95,2.95,2.95,2.95,3.58,2.95,2.95
YGR036C,96.04,250.32,250.32,250.32,250.32,471.33,250.32
YGR038C-B,268.67,268.67,268.67,268.67,268.67,268.67,268.67
YGR038W,154.29,154.29,154.29,154.29,154.29,154.29,656.25
YGR043C,29.45,29.45,29.45,29.45,29.45,44.04,29.45
YGR046W,152.31,152.31,152.31,1724.35,152.31,152.31,418.06
YGR047C,20.45,20.45,20.45,31.37,14.83,20.45,86.32
YGR055W,19.24,27.23,27.23,27.23,38.90,27.23,27.23
YGR060W,3.90,3.90,3.90,3.90,3.90,3.90,3.90
YGR061C,23.32,36.43,36.43,36.43,125.76,36.43,36.43
YGR062C,21.99,21.99,21.99,21.99,13.98,21.99,21.99
YGR065C,2.85,2.85,2.85,2.85,2.85,2.02,2.85
YGR084C,18.60,18.60,18.60,14.64,18.60,18.60,113.89
YGR087C,17.82,17.82,17.82,17.82,17.82,17.82,17.82
YGR088W,297.78,297.78,297.78,297.78,297.78,941.22,297.78
YGR093W,44.59,76.81,70.51,76.81,76.81,76.81,76.81
YGR094W,20.43,20.43,20.43,20.43,20.43,20.43,20.43
YGR096W,29.17,29.17,29.17,50.18,29.17,29.17,29.17
YGR106C,39.75,21.46,28.87,21.46,21.46,21.46,21.46
YGR109W-B,14.81,14.81,14.81,14.81,14.81,14.81,14.81
YGR110W,3.96,3.96,3.96,3.96,3.96,3.96,3.96
YGR121C,16.01,7.06,16.01,16.01,16.01,16.01,16.01
YGR123C,6.56,6.56,6.56,6.77,6.56,6.56,6.56
YGR124W,9.16,3.08,3.08,3.08,3.08,3.08,3.08
YGR138C,38.55,43.24,43.24,43.24,43.24,78.70,43.24
YGR143W,36.12,36.12,36.12,36.12,36.12,36.12,36.12
YGR144W,1.35,1.38,1.38,1.38,1.38,1.38,1.38
YGR152C,16.71,16.71,16.71,16.71,55.30,57.10,14.83
YGR154C,89.44,89.44,89.44,89.44,117.82,89.44,89.44
YGR155W,98.38,98.38,46.12,98.38,98.38,98.38,98.38
YGR157W,93.57,93.57,93.57,93.57,31.51,93.57,93.57
YGR159C,3.13,21.29,21.29,21.29,21.29,21.29,21.29
YGR161C-D,5.65,6.98,5.65,5.65,5.65,2.86,3.65
YGR161W-B,3.95,3.95,3.95,3.95,3.95,3.95,3.95
YGR165W,33.68,33.68,33.68,33.68,33.68,33.68,33.68
YGR169C,35.48,35.48,35.48,248.06,35.48,35.48,35.48
YGR170W,138.52,138.52,138.52,138.52,138.52,138.52,138.52
YGR171C,104.58,104.58,104.58,104.58,104.58,104.58,104.58
YGR173W,16.47,16.47,16.47,16.47,16.47,16.47,16.47
YGR175C,3.11,3.11,3.11,3.11,3.11,3.11,3.11
YGR177C,12.45,25.17,12.45,12.45,55.54,13.29,12.45
YGR179C,121.42,27.82,27.82,27.82,27.82,27.82,27.82
YGR180C,14.83,13.75,14.83,41.20,35.88,14.83,14.83
YGR183C,8.44,8.44,65.87,36.56,2.96,8.44,7.35
YGR184C,29.35,29.35,25.34,29.35,29.35,29.35,29.35
YGR185C,9.43,9.43,8.97,9.80,9.43,9.43,9.43
YGR191W,7.83,7.83,7.83,7.83,6.55,7.83,7.83
YGR192C,32.05,32.05,32.05,32.05,32.05,32.05,32.05
YGR193C,10.99,10.99,11.57,10.99,10.99,10.99,10.99
YGR194C,28.97,28.97,28.97,28.97,28.97,28.97,28.97
