route,step1_reaction,step1_entry,step1_origin,step1_family,step2_reaction,step2_entry,step2_origin,step2_family,mean_engineering_priority_score,route_risk_note,p450_entry,p450_system_type,redox_partner_requirement,host_context_class,substrate_fit_score,p450_engineering_feasibility_score,recommended_p450_action,combined_design_feasibility_score
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10611,external_uniprot,preferred_omega_hydroxylase,10.997558,external hydroxylase requires heterologous expression and redox partner handling,P10611,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.882965,secondary_priority_high_activity_but_expression_risk,19.43904
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q6NT55,external_uniprot_curated_panel,preferred_omega_hydroxylase,10.995787,external hydroxylase requires heterologous expression and redox partner handling,Q6NT55,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.879424,secondary_priority_high_activity_but_expression_risk,19.435499
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P14580,external_uniprot,preferred_omega_hydroxylase,10.985435,external hydroxylase requires heterologous expression and redox partner handling,P14580,heterologous_microsomal_p450,requires_cpr_or_cognate_reductase_engineering,mammalian_external,5,16.858719,secondary_priority_high_activity_but_expression_risk,19.414794
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P21595,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,10.680453,endogenous hydroxylase remains activity-limited,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,1,17.295265,low_expression_risk_but_activity_validation_required,19.328086
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P21595,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,10.670215,endogenous hydroxylase remains activity-limited,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,1,17.295265,low_expression_risk_but_activity_validation_required,19.317848
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P21595,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,10.553583,endogenous hydroxylase remains activity-limited,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,1,17.295265,low_expression_risk_but_activity_validation_required,19.201215
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,9.156951,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,5,20.040095,high_priority_test_self_sufficient_p450,19.176999
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,9.776023,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.689869,low_expression_risk_but_activity_validation_required,19.120958
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,CAND_10H2DA_COA_THIOESTERASE_P,P41903,endogenous_s_cerevisiae,preferred_acyl_coa_thioesterase,9.336187,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,4,19.528875,high_priority_test_self_sufficient_p450,19.100625
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,9.756178,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,18.650179,low_expression_risk_but_activity_validation_required,19.081268
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P10614,endogenous_s_cerevisiae,plausible_p450_or_cyp,9.802854,endogenous hydroxylase remains activity-limited,P10614,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.993557,low_expression_risk_but_activity_validation_required,18.799632
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,P54781,endogenous_s_cerevisiae,plausible_p450_or_cyp,9.757871,endogenous hydroxylase remains activity-limited,P54781,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,2,17.903591,low_expression_risk_but_activity_validation_required,18.709666
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,P21595,endogenous_s_cerevisiae,plausible_p450_or_cyp,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,9.578722,endogenous hydroxylase remains activity-limited,P21595,endogenous_or_yeast_cyp_keyword_hit,native_yeast_redox_context_possible_but_terminal_activity_unvalidated,native_yeast,1,17.295265,low_expression_risk_but_activity_validation_required,18.226354
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,8.185005,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,5,20.040095,high_priority_test_self_sufficient_p450,18.205053
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,8.159989,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,5,20.040095,high_priority_test_self_sufficient_p450,18.180036
free_acid_route,CAND_T2DEC_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,8.062676,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,5,20.040095,high_priority_test_self_sufficient_p450,18.082723
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,CAND_10H2DA_COA_THIOESTERASE_P,P53208,endogenous_s_cerevisiae,plausible_thioesterase,8.297258,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,4,19.528875,high_priority_test_self_sufficient_p450,18.061695
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,CAND_10H2DA_COA_THIOESTERASE_P,P38256,endogenous_s_cerevisiae,plausible_thioesterase,8.28702,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,4,19.528875,high_priority_test_self_sufficient_p450,18.051458
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,CAND_10H2DA_COA_THIOESTERASE_P,Q12354,endogenous_s_cerevisiae,plausible_thioesterase,8.170387,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,4,19.528875,high_priority_test_self_sufficient_p450,17.934825
free_acid_route,CAND_T2DEC_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,CAND_T2DEC_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,7.076123,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,5,20.040095,high_priority_test_self_sufficient_p450,17.09617
coa_bound_route,CAND_T2DEC_COA_OMEGA_HYDROXYLASE_P,Q9Y8G7,external_uniprot_curated_panel,weak_name_or_cofactor_hit,CAND_10H2DA_COA_THIOESTERASE_P,P07149,endogenous_s_cerevisiae,generic_thioesterase,7.195526,external hydroxylase requires heterologous expression and redox partner handling,Q9Y8G7,self_sufficient_cyp505,internal_reductase_domain,fungal_external,4,19.528875,high_priority_test_self_sufficient_p450,16.959964
