model_reaction_id,reaction_name,model_equation,negative_sample_role,reason,gpr,orfs,enzyme_ec_numbers
r_2638,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3273 + s_3300 <=> s_3242 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2639,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3273 + s_3302 <=> s_3242 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2640,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3273 + s_3304 <=> s_3254 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2641,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3273 + s_3305 <=> s_3254 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2642,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3273 + s_3306 <=> s_3254 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2643,"MLCL (2-16:1, 3-18:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3273 + s_3307 <=> s_3254 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2644,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3274 + s_3296 <=> s_3243 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2645,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3274 + s_3298 <=> s_3243 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2646,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3274 + s_3300 <=> s_3243 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2647,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3274 + s_3302 <=> s_3243 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2648,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3274 + s_3304 <=> s_3255 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2649,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3274 + s_3305 <=> s_3255 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2650,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3274 + s_3306 <=> s_3255 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2651,"MLCL (2-16:1, 3-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3274 + s_3307 <=> s_3255 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2652,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3275 + s_3296 <=> s_3244 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2653,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3275 + s_3298 <=> s_3244 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2654,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3275 + s_3300 <=> s_3244 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2655,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3275 + s_3302 <=> s_3244 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2656,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3275 + s_3304 <=> s_3256 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2657,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3275 + s_3305 <=> s_3256 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2658,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3275 + s_3306 <=> s_3256 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2659,"MLCL (2-16:1, 3-16:0, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3275 + s_3307 <=> s_3256 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2660,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3276 + s_3296 <=> s_3245 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2661,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3276 + s_3298 <=> s_3245 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2662,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3276 + s_3300 <=> s_3245 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2663,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3276 + s_3302 <=> s_3245 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2664,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3276 + s_3304 <=> s_3257 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2665,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3276 + s_3305 <=> s_3257 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2666,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3276 + s_3306 <=> s_3257 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2667,"MLCL (2-16:1, 3-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3276 + s_3307 <=> s_3257 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2668,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3278 + s_3296 <=> s_3264 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2669,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3278 + s_3298 <=> s_3264 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2670,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3278 + s_3300 <=> s_3264 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2671,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3278 + s_3302 <=> s_3264 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2672,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3278 + s_3304 <=> s_3297 + s_3308,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2673,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3278 + s_3305 <=> s_3299 + s_3308,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2674,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3278 + s_3306 <=> s_3301 + s_3308,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2675,"MLCL (2-18:1, 3-16:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3278 + s_3307 <=> s_3303 + s_3308,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2676,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3279 + s_3296 <=> s_3265 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2677,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3279 + s_3298 <=> s_3265 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2678,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3279 + s_3300 <=> s_3265 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2679,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3279 + s_3302 <=> s_3265 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2680,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3279 + s_3304 <=> s_3297 + s_3309,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2681,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3279 + s_3305 <=> s_3299 + s_3309,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2682,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3279 + s_3306 <=> s_3301 + s_3309,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2683,"MLCL (2-18:1, 3-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3279 + s_3307 <=> s_3303 + s_3309,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2684,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3280 + s_3296 <=> s_3266 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2685,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3280 + s_3298 <=> s_3266 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2686,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3280 + s_3300 <=> s_3266 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2687,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3280 + s_3302 <=> s_3266 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2688,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3280 + s_3304 <=> s_3297 + s_3310,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2689,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3280 + s_3305 <=> s_3299 + s_3310,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2690,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3280 + s_3306 <=> s_3301 + s_3310,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2691,"MLCL (2-18:1, 3-18:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3280 + s_3307 <=> s_3303 + s_3310,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2692,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3281 + s_3296 <=> s_3267 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2693,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3281 + s_3298 <=> s_3267 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2694,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3281 + s_3300 <=> s_3267 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2695,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3281 + s_3302 <=> s_3267 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2696,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3281 + s_3304 <=> s_3297 + s_3311,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2697,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3281 + s_3305 <=> s_3299 + s_3311,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2698,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3281 + s_3306 <=> s_3301 + s_3311,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2699,"MLCL (2-18:1, 3-18:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3281 + s_3307 <=> s_3303 + s_3311,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2700,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3282 + s_3296 <=> s_3268 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2701,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3282 + s_3298 <=> s_3268 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2702,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3282 + s_3300 <=> s_3268 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2703,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3282 + s_3302 <=> s_3268 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2704,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3282 + s_3304 <=> s_3297 + s_3312,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2705,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3282 + s_3305 <=> s_3299 + s_3312,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2706,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3282 + s_3306 <=> s_3301 + s_3312,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2707,"MLCL (2-18:1, 3-16:0, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3282 + s_3307 <=> s_3303 + s_3312,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2708,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3283 + s_3296 <=> s_3269 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2709,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3283 + s_3298 <=> s_3269 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2710,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3283 + s_3300 <=> s_3269 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2711,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3283 + s_3302 <=> s_3269 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2712,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3283 + s_3304 <=> s_3297 + s_3313,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2713,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3283 + s_3305 <=> s_3299 + s_3313,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2714,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3283 + s_3306 <=> s_3301 + s_3313,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2715,"MLCL (2-18:1, 3-16:1, 4-18:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3283 + s_3307 <=> s_3303 + s_3313,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2716,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3284 + s_3296 <=> s_3235 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2717,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3284 + s_3298 <=> s_3235 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2718,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3284 + s_3300 <=> s_3235 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2719,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3284 + s_3302 <=> s_3235 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2720,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3284 + s_3304 <=> s_3237 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2721,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3284 + s_3305 <=> s_3237 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2722,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3284 + s_3306 <=> s_3237 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2723,"MLCL (1-16:0, 2-16:1, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3284 + s_3307 <=> s_3237 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2724,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3285 + s_3296 <=> s_3239 + s_3297,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2725,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3285 + s_3298 <=> s_3239 + s_3299,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2726,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane",s_3285 + s_3300 <=> s_3239 + s_3301,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2727,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane",s_3285 + s_3302 <=> s_3239 + s_3303,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2728,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane",s_3285 + s_3304 <=> s_3297 + s_3314,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
r_2729,"MLCL (1-16:0, 2-16:1, 4-18:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane",s_3285 + s_3305 <=> s_3299 + s_3314,candidate_unlabeled_hard_negative,model context only; no external database/RXNdb provenance; formula and charge balanced,YPR140W,YPR140W,2.3.1.-
